City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
347,Srisailam,IN,72.88,overcast clouds,16.0833,78.8667,Vasavi Satram
348,Hobyo,SO,76.32,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
350,Estevan,CA,82.74,scattered clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
351,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
353,Benguela,AO,69.21,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
354,Puerto Barrios,GT,87.94,scattered clouds,15.7167,-88.6,Hotel El Castillo
359,Diamantino,BR,79.39,light rain,-14.4086,-56.4461,Hotel Delta
360,Mackay,AU,80.69,scattered clouds,-21.15,149.2,International Lodge Motel
361,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
362,Umm Kaddadah,SD,78.4,moderate rain,13.6017,26.6876,
363,Sawtell,AU,67.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
364,Lethem,GY,83.64,broken clouds,3.3803,-59.7968,Savannah Inn
365,Hasaki,JP,82.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
366,Weihai,CN,66.29,broken clouds,37.5017,122.1136,Beihai Travel Resort
367,Diu,IN,77.14,clear sky,20.7141,70.9822,Hotel Relax Inn
370,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
372,Pahrump,US,89.65,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
375,Lompoc,US,70.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
378,Constantine,DZ,71.01,few clouds,36.365,6.6147,Grand Hotel Cirta
379,Tigre,AR,67.21,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
381,Angoram,PG,81.77,overcast clouds,-4.0625,144.0661,
383,Abu Zabad,SD,72.77,overcast clouds,12.35,29.25,حامد محمد نور
385,Teahupoo,PF,76.53,clear sky,-17.8333,-149.2667,Vanira Lodge
386,Lumeje,AO,70.9,broken clouds,-11.55,20.7833,
387,Guia De Isora,ES,67.44,clear sky,28.2115,-16.7795,La Vista Pension
389,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
390,Kieta,PG,83.28,light rain,-6.2167,155.6333,Uruna Bay Retreat
394,Alexandria,EG,77.81,clear sky,31.2156,29.9553,فندق قاعود
397,Port Moresby,PG,78.22,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
400,Zurrieq,MT,77.97,clear sky,35.8311,14.4742,Ta'Bertu Guest House
403,Havelock,US,81.99,clear sky,34.8791,-76.9013,Sherwood Motel
404,Sao Jose Da Coroa Grande,BR,74.48,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
406,Candelaria,PH,75.58,overcast clouds,13.9311,121.4233,Casa de Provincia
407,Naliya,IN,79.74,clear sky,23.2667,68.8333,jadeja jayendrasinh
415,Turbo,CO,82.53,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
